emotion_type,suggestion_text,resource_link
Anxiety,"Try 5 minutes of deep breathing: inhale 4s, hold 4s, exhale 6s.",
Sadness,"Take a short walk, listen to an uplifting song, or connect with a friend.",
Anger,Pause and count to 10. Practice grounding: name 5 things you can see.,
Stress,Take a 10-minute break. Stretch your body and drink some water.,
Fear,Try journaling what you’re afraid of and write one reason you’ll be okay.,
Loneliness,Send a message to someone you trust or join an online support group.,
Confusion,"Step away from the task, take 3 deep breaths, and return with fresh focus.",
Joy,Reflect on what made you happy today and share it with someone.,
Guilt,Remind yourself that mistakes are part of growth. Make amends if possible.,
Overwhelm,"Write down tasks, prioritize the top 3, and do one at a time.",
Frustration,Release tension with light exercise or vent through creative writing.,
Boredom,Try learning a small new skill or hobby for 10 minutes.,
Embarrassment,Remember that everyone makes mistakes—laugh it off and move on.,
Disappointment,Reframe it: what can you learn from this experience?,
Jealousy,Focus on your own progress and set a small personal goal today.,
Excitement,Channel that energy into planning or creating something meaningful.,
Hopelessness,Remind yourself that feelings pass. Reach out for help if it lasts.,
Insecurity,List 3 strengths or compliments you’ve received recently.,
Calm,Maintain it: play gentle music or practice gratitude journaling.,
Gratitude,Write down 3 things you’re thankful for and why they matter.,
